,Country,Confirmed,New_cases,Deaths,Recovered
0,China,95689,66,4636,90126
1,USA,43021556,93127,693873,32540846
2,India,33477819,30809,445165,32707589
3,Brazil,21239783,9458,590786,20280294
4,UK,7429348,29479,135203,5981684
5,Russia,7274928,20174,198218,6498682
6,France,6955333,5814,116030,6630281
7,Turkey,6847259,26398,61574,6337070
8,Iran,5424835,15975,117182,4764998
9,Argentina,5239232,622,114428,5096283
10,Colombia,4941064,1813,125895,4779552
11,Spain,4933538,1996,85861,4659697
12,Italy,4636109,3836,130310,4392265
13,Indonesia,4190763,2234,140468,3989326
14,Germany,4151810,5682,93585,3888900
15,Mexico,3564694,11711,271303,2916271
16,Poland,2897936,541,75488,2659483
17,South Africa,2882630,2281,86174,2732363
18,Philippines,2366679,19201,36788,2151661
19,Ukraine,2348381,3983,54875,2230852
20,Peru,2167008,589,199006,0
21,Malaysia,2097830,14954,23443,1863919
22,Netherlands,1984915,1663,18114,1895797
23,Iraq,1975220,2515,21822,1862940
24,Czechia,1686182,303,30431,1650846
25,Japan,1673310,4868,17156,1575919
26,Chile,1647469,475,37359,1603934
27,Canada,1578058,4336,27395,1499483
28,Bangladesh,1542683,1383,27225,1501541
29,Thailand,1476477,13576,15363,1330019
30,Israel,1229670,8154,7541,1142726
31,Pakistan,1223841,2580,27206,1132726
32,Belgium,1219814,0,25497,1133872
33,Romania,1148710,3817,35514,1079408
34,Sweden,1144982,0,14734,1101847
35,Portugal,1062048,677,17907,1010168
36,Morocco,919681,1555,13910,882155
37,Serbia,865686,5255,7770,755200
38,Kazakhstan,860424,2781,10726,787450
39,Switzerland,823075,1,11009,736388
40,Hungary,817159,0,30123,779777
41,Jordan,813601,920,10616,790672
42,Cuba,801367,8434,6796,754898
43,Nepal,784566,656,11040,749213
44,UAE,732690,391,2075,724446
45,Austria,724035,1678,10895,689927
46,Tunisia,699928,704,24510,669355
47,Vietnam,687063,10040,17090,457505
48,Greece,630784,1286,14466,587957
49,Lebanon,618278,616,8236,580346
50,Georgia,595264,1501,8541,559996
51,Saudi Arabia,546549,70,8661,535531
52,Guatemala,529422,834,13040,478671
53,Belarus,516428,1982,4004,503266
54,Costa Rica,509139,1627,6023,409538
55,Ecuador,507003,29,32661,443880
56,Sri Lanka,504491,1733,12125,432038
57,Bolivia,496950,250,18654,451049
58,Bulgaria,482186,458,20028,423424
59,Azerbaijan,472719,1734,6305,434095
60,Panama,464288,250,7172,452809
61,Paraguay,459650,28,16128,441728
62,Myanmar,446573,1702,17073,398220
63,Kuwait,411180,56,2439,407908
64,Slovakia,402808,742,12569,383511
65,Croatia,391984,875,8500,375198
66,Uruguay,387627,72,6048,379986
67,Palestine,384390,1806,3919,351053
68,Ireland,375367,1224,5179,325349
69,Honduras,357654,0,9491,108262
70,Dominican Republic,355150,137,4028,346326
71,Venezuela,355061,822,4301,339081
72,Denmark,354645,252,2628,346364
73,Ethiopia,332961,958,5130,300684
74,Libya,330945,1121,4501,246809
75,Lithuania,315950,849,4795,292498
76,Oman,303423,114,4093,293844
77,Egypt,296929,653,16970,250304
78,S. Korea,285931,1909,2404,257449
79,Slovenia,283479,544,4498,265811
80,Moldova,281700,484,6595,267372
81,Mongolia,275146,2777,1108,262158
82,Bahrain,274264,85,1388,272108
83,Armenia,253600,507,5131,236088
84,Kenya,246530,234,4989,237295
85,Qatar,235487,101,604,233289
86,Bosnia and Herzegovina,227255,421,10243,192218
87,Zambia,208469,47,3638,204161
88,Nigeria,201798,168,2655,190563
89,Algeria,201600,175,5694,137932
90,North Macedonia,186914,365,6460,167402
91,Norway,182239,474,841,88952
92,Kyrgyzstan,177722,69,2588,172189
93,Botswana,172252,0,2343,167318
94,Uzbekistan,168437,579,1188,162055
95,Albania,162953,780,2580,147584
96,Afghanistan,154585,46,7199,122522
97,Latvia,150560,404,2640,141933
98,Mozambique,150018,37,1903,145606
99,Estonia,149776,462,1326,139637
100,Finland,136257,51,1051,46000
101,Zimbabwe,127938,199,4567,120946
102,Namibia,126811,103,3469,122081
103,Montenegro,126259,531,1849,116359
104,Ghana,125261,256,1121,119859
105,Uganda,122212,129,3128,95889
106,Cyprus,116688,194,534,90755
107,Cambodia,104094,612,2109,97227
108,El Salvador,101686,341,3102,84981
109,Rwanda,95257,140,1210,45430
110,Australia,85629,1573,1162,63378
111,Cameroon,85414,0,1368,80433
112,Maldives,83576,82,229,81671
113,Jamaica,79673,546,1791,50787
114,Singapore,77804,1012,60,70600
115,Luxembourg,77189,0,834,75209
116,Senegal,73645,23,1845,69491
117,Malawi,61363,26,2261,52005
118,Ivory Coast,59020,131,566,56688
119,DRC,56387,0,1068,30858
120,Réunion,52643,0,358,51126
121,Guadeloupe,52480,0,668,2250
122,Angola,52423,116,1391,46036
123,Fiji,49959,79,566,36011
124,Trinidad and Tobago,48523,123,1416,43059
125,Eswatini,45380,28,1195,43236
126,Madagascar,42898,0,958,41322
127,French Polynesia,40178,0,593,33500
128,Martinique,39745,0,555,104
129,French Guiana,38266,0,235,9995
130,Sudan,38041,41,2878,31922
131,Cabo Verde,37108,56,330,35866
132,Malta,36972,20,453,35537
133,Suriname,36971,225,805,26668
134,Mauritania,35462,82,766,33683
135,Syria,30709,190,2127,23048
136,Guinea,30136,0,370,28277
137,Guyana,29553,208,725,25000
138,Gabon,27643,0,175,26149
139,Togo,24599,80,213,20426
140,Benin,21450,0,146,17294
141,Haiti,21413,75,605,19239
142,Seychelles,20943,0,114,20245
143,Mayotte,20125,0,176,2964
144,Bahamas,20030,0,504,17727
